name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,1,,,1,,,,,-96.7704197,43.6128279,,,
,2,,,2,,,,,-96.7112506,43.605813,,,
,3,,,3,,,,,-96.7743034,43.5729616,,,
,4,,,4,,,,,-96.7471684,43.5636536,,,
,5,,,5,,,,,-96.7315691,43.5640336,,,
,6,,,6,,,,,-96.7116439,43.5875855,,,
,7,,,7,,,,,-96.6934228,43.5638436,,,
,8,,,8,,,,,-96.7113817,43.5623238,,,
,9,,,9,,,,,-96.7312414,43.5485963,,,
,10,,,10,,,,,-96.731438,43.5452709,,,
,11,,,11,,,,,-96.7468407,43.5441307,,,
,12,,,12,,,,,-96.7801368,43.5439407,,,
,13,,,13,,,,,-96.7933766,43.4907072,,,
,14,,,14,,,,,-96.7510355,43.5293061,,,
,15,,,15,,,,,-96.7315035,43.5294012,,,
,16,,,16,,,,,-96.7113817,43.5467436,,,
,17,,,17,,,,,-96.7113817,43.5412801,,,
,18,,,18,,,,,-96.6940783,43.5467436,,,
,19,,,19,,,,,-96.7113162,43.5295913,,,
,20,,,20,,,,,-96.7111851,43.5153335,,,
,21,,,21,,,,,-96.7309792,43.5104851,,,
,22,,,22,,,,,-96.7312414,43.5148582,,,
,23,,,23,,,,,-96.7509044,43.5148582,,,
,24,,,24,,,,,-96.7492003,43.5031642,,,
