mvmt_id,node_id,osm_node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,lanes,ib_osm_node_id,ob_osm_node_id,type,penalty,capacity,ctrl_type,mvmt_txt_id,geometry,volume,free_speed,allowed_uses
0,0,80294795,,1507,1,1,0,1,1,1,80227395,80219498,thru,,,,WBT,"LINESTRING (-96.7858452 43.4926672, -96.7860369 43.4926316)",,,auto
1,0,80294795,,1507,2,2,5,4,4,1,80227395,80247699,right,,,,WBR,"LINESTRING (-96.7858452 43.4926672, -96.7860378 43.4926342)",,,auto
2,1,80219498,,0,1,2,1366,1,2,2,80294795,80219495,thru,,,,SBT,"LINESTRING (-96.7972403 43.4812927, -96.7971821 43.4811550)",,,auto
3,2,80227342,,35,3,3,1,2,2,1,481801168,2445411692,thru,,,,WBT,"LINESTRING (-96.7625091 43.4983928, -96.7626868 43.4983295)",,,auto
4,2,80227342,,35,1,2,1506,1,2,2,481801168,80227395,thru,,,,WBT,"LINESTRING (-96.7625091 43.4983928, -96.7626839 43.4983254)",,,auto
5,3,2445411692,,1,1,2,1511,1,2,2,80227342,80227378_8455317723_8455317724,thru,,,,WBT,"LINESTRING (-96.7683103 43.4970793, -96.7685063 43.4970594)",,,auto
6,4,80237504,,3,1,1,52,1,1,1,80237525,2462403743,thru,,,,EBT,"LINESTRING (-96.7475477 43.4941254, -96.7473499 43.4941252)",,,auto
7,4,80237504,,3,1,1,2267,1,1,1,80237525,80245698,left,,,,EBL,"LINESTRING (-96.7475477 43.4941254, -96.7474512 43.4941970)",,,auto
8,4,80237504,,3,1,1,3400,1,1,1,80237525,80289313_9318322957,right,,,,EBR,"LINESTRING (-96.7475477 43.4941254, -96.7474466 43.4940530)",,,auto
9,4,80237504,,53,1,1,2,1,1,1,2462403743,80237525,thru,,,,WBT,"LINESTRING (-96.7473499 43.4941252, -96.7475477 43.4941254)",,,auto
10,4,80237504,,53,1,1,2267,1,1,1,2462403743,80245698,right,,,,WBR,"LINESTRING (-96.7473499 43.4941252, -96.7474512 43.4941970)",,,auto
11,4,80237504,,53,1,1,3400,1,1,1,2462403743,80289313_9318322957,left,,,,WBL,"LINESTRING (-96.7473499 43.4941252, -96.7474466 43.4940530)",,,auto
12,4,80237504,,2268,1,1,2,1,1,1,80245698,80237525,right,,,,SBR,"LINESTRING (-96.7474512 43.4941970, -96.7475477 43.4941254)",,,auto
13,4,80237504,,2268,1,1,52,1,1,1,80245698,2462403743,left,,,,SBL,"LINESTRING (-96.7474512 43.4941970, -96.7473499 43.4941252)",,,auto
14,4,80237504,,2268,1,1,3400,1,1,1,80245698,80289313_9318322957,thru,,,,SBT,"LINESTRING (-96.7474512 43.4941970, -96.7474466 43.4940530)",,,auto
15,4,80237504,,3399,1,1,2,1,1,1,80289313_9318322957,80237525,left,,,,NBL,"LINESTRING (-96.7474466 43.4940530, -96.7475477 43.4941254)",,,auto
16,4,80237504,,3399,1,1,52,1,1,1,80289313_9318322957,2462403743,right,,,,NBR,"LINESTRING (-96.7474466 43.4940530, -96.7473499 43.4941252)",,,auto
17,4,80237504,,3399,1,1,2267,1,1,1,80289313_9318322957,80245698,thru,,,,NBT,"LINESTRING (-96.7474466 43.4940530, -96.7474512 43.4941970)",,,auto
18,5,80237525,,2,1,1,48,1,1,1,80237504,1351593860,thru,,,,WBT,"LINESTRING (-96.7573784 43.4942863, -96.7575762 43.4942910)",,,auto
19,5,80237525,,2,1,1,2300,1,1,1,80237504,498701012,right,,,,WBR,"LINESTRING (-96.7573784 43.4942863, -96.7574805 43.4943612)",,,auto
20,5,80237525,,49,1,1,3,1,1,1,1351593860,80237504,thru,,,,EBT,"LINESTRING (-96.7575762 43.4942910, -96.7573784 43.4942863)",,,auto
21,5,80237525,,49,1,1,2300,1,1,1,1351593860,498701012,thru,,,,EBT,"LINESTRING (-96.7575762 43.4942910, -96.7574805 43.4943612)",,,auto
22,5,80237525,,2301,1,1,3,1,1,1,498701012,80237504,left,,,,SBL,"LINESTRING (-96.7574805 43.4943612, -96.7573784 43.4942863)",,,auto
23,5,80237525,,2301,1,1,48,1,1,1,498701012,1351593860,thru,,,,SBT,"LINESTRING (-96.7574805 43.4943612, -96.7575762 43.4942910)",,,auto
24,6,80240485,,37,2,2,4,4,4,1,8454812884,2445411741,thru,,,,EBT,"LINESTRING (-96.7776756 43.4936630, -96.7774804 43.4936863)",,,auto
25,6,80240485,,37,1,1,38,1,1,1,8454812884,80279234,thru,,,,EBT,"LINESTRING (-96.7776756 43.4936630, -96.7774815 43.4936910)",,,auto
26,7,2445411741,,4,3,4,1508,1,2,2,80240485,80240513,thru,,,,EBT,"LINESTRING (-96.7703641 43.4929087, -96.7701679 43.4928913)",,,auto
27,8,80247699,,5,1,2,684,1,2,2,80294795,2445461593,right,,,,WBR,"LINESTRING (-96.7908281 43.4956818, -96.7907514 43.4958145)",,,auto
28,8,80247699,,683,1,2,684,1,2,2,495864127,2445461593,thru,,,,NBT,"LINESTRING (-96.7908352 43.4956839, -96.7907514 43.4958145)",,,auto
29,9,80230284,,1131,1,2,6,1,2,2,80282295_8995696916,80281159_80281160_1375180872_1375180871,thru,,,,WBT,"LINESTRING (-96.7207620 43.4896342, -96.7209598 43.4896350)",,,auto
30,13,7726891829,,8,1,2,2829,1,2,2,1876439613,80234455,thru,,,,NBT,"LINESTRING (-96.7871894 43.4843773, -96.7871874 43.4845213)",,,auto
31,13,7726891829,,2830,1,2,9,1,2,2,80234455,1876439613,thru,,,,SBT,"LINESTRING (-96.7871874 43.4845213, -96.7871894 43.4843773)",,,auto
32,14,1028818489,,11,2,2,1096,2,2,1,2440975668,1350987696,thru,,,,EBT,"LINESTRING (-96.7909244 43.5002773, -96.7907272 43.5002680)",,,auto
33,14,1028818489,,11,1,1,1331,1,1,1,2440975668,80753783,left,,,,EBL,"LINESTRING (-96.7909244 43.5002773, -96.7908274 43.5003491)",,,auto
34,14,1028818489,,669,2,2,10,2,2,1,80287876,2440975668,thru,,,,WBT,"LINESTRING (-96.7907274 43.5002873, -96.7909244 43.5002773)",,,auto
35,14,1028818489,,669,1,1,1096,1,1,1,80287876,1350987696,uturn,,,,WBU,"LINESTRING (-96.7907274 43.5002873, -96.7907272 43.5002680)",,,auto
36,14,1028818489,,669,2,2,1331,1,1,1,80287876,80753783,right,,,,WBR,"LINESTRING (-96.7907274 43.5002873, -96.7908274 43.5003491)",,,auto
37,14,1028818489,,1330,1,1,10,2,2,1,80753783,2440975668,right,,,,SBR,"LINESTRING (-96.7908274 43.5003491, -96.7909244 43.5002773)",,,auto
38,14,1028818489,,1330,1,1,1096,1,1,1,80753783,1350987696,left,,,,SBL,"LINESTRING (-96.7908274 43.5003491, -96.7907272 43.5002680)",,,auto
39,15,2440975668,,10,1,1,1336,1,1,1,1028818489,498701004,thru,,,,WBT,"LINESTRING (-96.7924907 43.5002804, -96.7926887 43.5002808)",,,auto
40,15,2440975668,,1337,1,1,11,1,1,1,498701004,1028818489,thru,,,,EBT,"LINESTRING (-96.7926887 43.5002808, -96.7924907 43.5002804)",,,auto
41,16,481801171,,13,1,2,671,1,2,2,80728342,481801172,thru,,,,EBT,"LINESTRING (-96.7579022 43.5003470, -96.7577042 43.5003474)",,,auto
42,16,481801171,,670,1,2,12,1,2,2,481801172,80728342,thru,,,,WBT,"LINESTRING (-96.7577042 43.5003474, -96.7579022 43.5003470)",,,auto
43,17,80728342,,12,1,1,14,1,1,1,481801171,5488961694,thru,,,,WBT,"LINESTRING (-96.7657612 43.5003386, -96.7659592 43.5003381)",,,auto
44,17,80728342,,12,2,2,362,1,1,1,481801171,80728320,right,,,,WBR,"LINESTRING (-96.7657612 43.5003386, -96.7658614 43.5004104)",,,auto
45,17,80728342,,15,2,2,13,2,2,1,5488961694,481801171,thru,,,,EBT,"LINESTRING (-96.7659592 43.5003381, -96.7657612 43.5003386)",,,auto
46,17,80728342,,15,1,1,362,1,1,1,5488961694,80728320,left,,,,EBL,"LINESTRING (-96.7659592 43.5003381, -96.7658614 43.5004104)",,,auto
47,17,80728342,,361,1,1,13,1,1,1,80728320,481801171,left,,,,SBL,"LINESTRING (-96.7658614 43.5004104, -96.7657612 43.5003386)",,,auto
48,17,80728342,,361,1,1,14,2,2,1,80728320,5488961694,right,,,,SBR,"LINESTRING (-96.7658614 43.5004104, -96.7659592 43.5003381)",,,auto
49,18,5488961694,,14,1,2,16,1,2,2,80728342,2440996579,thru,,,,WBT,"LINESTRING (-96.7706897 43.5003420, -96.7708877 43.5003420)",,,auto
50,18,5488961694,,17,1,2,15,1,2,2,2440996579,80728342,thru,,,,EBT,"LINESTRING (-96.7708877 43.5003420, -96.7706897 43.5003420)",,,auto
51,19,2440996579,,16,1,1,18,1,1,1,5488961694,498701010,thru,,,,WBT,"LINESTRING (-96.7708324 43.5003420, -96.7710303 43.5003398)",,,auto
52,19,2440996579,,16,2,2,1505,2,2,1,5488961694,80670960,right,,,,WBR,"LINESTRING (-96.7708324 43.5003420, -96.7709318 43.5004140)",,,auto
53,19,2440996579,,19,2,2,17,2,2,1,498701010,5488961694,thru,,,,EBT,"LINESTRING (-96.7710303 43.5003398, -96.7708324 43.5003420)",,,auto
54,19,2440996579,,19,1,1,1505,1,1,1,498701010,80670960,left,,,,EBL,"LINESTRING (-96.7710303 43.5003398, -96.7709318 43.5004140)",,,auto
55,19,2440996579,,1504,2,2,17,2,2,1,5488961695,5488961694,right,,,,NBR,"LINESTRING (-96.7709303 43.5002700, -96.7708324 43.5003420)",,,auto
56,19,2440996579,,1504,1,1,18,1,1,1,5488961695,498701010,left,,,,NBL,"LINESTRING (-96.7709303 43.5002700, -96.7710303 43.5003398)",,,auto
57,19,2440996579,,1504,2,2,1505,2,2,1,5488961695,80670960,thru,,,,NBT,"LINESTRING (-96.7709303 43.5002700, -96.7709318 43.5004140)",,,auto
58,20,498701010,,18,2,2,771,2,2,1,2440996579,5488961693,thru,,,,WBT,"LINESTRING (-96.7710310 43.5003398, -96.7712289 43.5003374)",,,auto
59,20,498701010,,18,1,1,1350,1,1,1,2440996579,5488961697,left,,,,WBL,"LINESTRING (-96.7710310 43.5003398, -96.7711287 43.5002656)",,,auto
60,20,498701010,,772,1,1,19,1,1,1,5488961693,2440996579,thru,,,,EBT,"LINESTRING (-96.7712289 43.5003374, -96.7710310 43.5003398)",,,auto
61,20,498701010,,772,2,2,1350,3,3,1,5488961693,5488961697,right,,,,EBR,"LINESTRING (-96.7712289 43.5003374, -96.7711287 43.5002656)",,,auto
