node_id,zone_id,x_coord,y_coord
1,1,-87.59634263,41.68659361
2,2,-87.59348245,41.67253608
3,3,-87.586332,41.66550732
4,4,-87.59205236,41.65631585
5,5,-87.57775146,41.65117945
6,6,-87.59169484,41.64171765
7,7,-87.57667889,41.64117697
8,8,-87.58096916,41.62063135
9,9,-87.57596385,41.63144484
10,10,-87.58061164,41.60900686
11,11,-87.5655957,41.62090169
12,12,-87.59920281,41.58846124
13,13,-87.5798966,41.59413832
14,14,-87.59026475,41.58143247
15,15,-87.5798966,41.58143247
16,16,-87.57953907,41.57332236
17,17,-87.56698646,41.56170867
18,18,-87.58704705,41.5525064
19,19,-87.56952844,41.55088438
20,20,-87.58490191,41.53709718
21,21,-87.56952844,41.53169044
22,22,-87.57882403,41.52979808
23,23,-87.56952844,41.52709471
24,24,-87.57846651,41.50979313
25,25,-87.5688134,41.50979313
26,26,-87.5974152,41.49546526
27,27,-87.5688134,41.49492459
28,28,-87.57846651,41.47383829
29,29,-87.57775146,41.44572323
30,30,-87.57703642,41.42761065
31,31,-87.7229056,41.98126108
32,32,-87.72183303,41.96693321
33,33,-87.72755339,41.95720107
34,34,-87.71754276,41.94260287
35,35,-87.70776095,41.94357608
36,36,-87.72111799,41.92854534
37,37,-87.70252682,41.92908601
38,38,-87.73005605,41.91394713
39,39,-87.70145425,41.90908106
40,40,-87.7196879,41.89961927
41,41,-87.70931975,41.8998896
42,42,-87.71933038,41.8852914
43,43,-87.69537637,41.88583207
44,44,-87.69072858,41.88583207
45,45,-87.71396754,41.87096353
46,46,-87.6975215,41.87123387
47,47,-87.68858344,41.87177454
48,48,-87.71825781,41.85663566
49,49,-87.69930912,41.856906
50,50,-87.67821529,41.85582465
51,51,-87.71754276,41.84230779
52,52,-87.69358876,41.83825274
53,53,-87.67750024,41.84176712
54,54,-87.68812581,41.82056188
55,55,-87.68322418,41.82071597
56,56,-87.67644555,41.82092413
57,57,-87.67209808,41.82089709
58,58,-87.66578065,41.81965625
59,59,-87.66146893,41.81965625
60,60,-87.65204822,41.81687177
61,61,-87.68822592,41.81635543
62,62,-87.68156527,41.81557145
63,63,-87.67778984,41.81529301
64,64,-87.6735675,41.81689611
65,65,-87.66605952,41.81689611
66,66,-87.65993159,41.81588234
67,67,-87.68448981,41.81103249
68,68,-87.68134361,41.81224901
69,69,-87.67627752,41.81121632
70,70,-87.67210165,41.81122984
71,71,-87.665702,41.81121903
72,72,-87.66147608,41.81198138
73,73,-87.68429317,41.80824532
74,74,-87.68151165,41.80828587
75,75,-87.6760344,41.80852647
76,76,-87.67174771,41.80853998
77,77,-87.66745029,41.80848321
78,78,-87.6617764,41.80883736
79,79,-87.68423239,41.80468227
80,80,-87.67998145,41.80404428
81,81,-87.67603083,41.80538785
82,82,-87.67177988,41.80527161
83,83,-87.66713209,41.80391992
84,84,-87.6617049,41.80323597
85,85,-87.68430747,41.80156529
86,86,-87.68132931,41.80163828
87,87,-87.67460789,41.80187888
88,88,-87.67031762,41.80186266
89,89,-87.6669283,41.80129765
90,90,-87.68430747,41.79701551
91,91,-87.67960605,41.7979644
92,92,-87.67499401,41.79896194
93,93,-87.67107914,41.7970074
94,94,-87.66500483,41.79811849
95,95,-87.66139385,41.79806442
96,96,-87.68370683,41.79428511
97,97,-87.67964538,41.79424185
98,98,-87.67271302,41.79349032
99,99,-87.66960257,41.79487174
100,100,-87.66487612,41.79405532
101,101,-87.7070459,41.82842328
102,102,-87.69044971,41.828918
103,103,-87.68388917,41.83126723
104,104,-87.67821529,41.82879094
105,105,-87.66988859,41.8290018
106,106,-87.70702803,41.82119176
107,107,-87.69680646,41.82203251
108,108,-87.68350305,41.8277961
109,109,-87.67390714,41.82804751
110,110,-87.66743598,41.82464937
111,111,-87.7002923,41.81621215
112,112,-87.69486869,41.82062135
113,113,-87.70238738,41.81062969
114,114,-87.69683864,41.81099735
115,115,-87.69854044,41.80464713
116,116,-87.69224805,41.80453359
117,117,-87.69816862,41.79405802
118,118,-87.69378539,41.79276852
119,119,-87.69802204,41.78840798
120,120,-87.68808648,41.78542616
121,121,-87.67928786,41.785537
122,122,-87.66907344,41.78563973
123,123,-87.66316717,41.78911086
124,124,-87.65745038,41.77796215
125,125,-87.70114678,41.78229295
126,126,-87.6880114,41.78266872
127,127,-87.67924853,41.78212805
128,128,-87.67065369,41.7800086
129,129,-87.66316717,41.78251193
130,130,-87.71682772,41.82446554
131,131,-87.71611267,41.81013768
132,132,-87.71575515,41.79824284
133,133,-87.72469321,41.77742689
134,134,-87.71504011,41.77418284
135,135,-87.69394628,41.76931677
136,136,-87.67893033,41.77418284
137,137,-87.65819403,41.77174981
138,138,-87.71468258,41.75607025
139,139,-87.69537637,41.75661093
140,140,-87.68107547,41.75688126
141,141,-87.65747898,41.7571516
142,142,-87.71361002,41.73471362
143,143,-87.70431443,41.74201272
144,144,-87.68071795,41.7425534
145,145,-87.65712146,41.74282373
146,146,-87.63817277,41.7403907
147,147,-87.71325249,41.72741452
148,148,-87.6943038,41.72795519
149,149,-87.68465069,41.72065609
150,150,-87.65676394,41.72849587
151,151,-87.64496569,41.7287662
152,152,-87.71289497,41.71335699
153,153,-87.69394628,41.71362732
154,154,-87.67750024,41.71389766
155,155,-87.65640641,41.714168
156,156,-87.63781524,41.71822305
157,157,-87.62530196,41.7193044
158,158,-87.71253745,41.69875878
159,159,-87.69358876,41.69929946
160,160,-87.6767852,41.69956979
161,161,-87.65318871,41.69984013
162,162,-87.6371002,41.70200283
163,163,-87.61779398,41.70065114
164,164,-87.7118224,41.68280889
165,165,-87.69287371,41.68659361
166,166,-87.67177988,41.6836199
167,167,-87.65533385,41.68551226
168,168,-87.63602763,41.6857826
169,169,-87.61743646,41.68443091
170,170,-87.71146488,41.67010305
171,171,-87.69251619,41.67037338
172,172,-87.67785777,41.66848102
173,173,-87.6546188,41.6711844
174,174,-87.64496569,41.66415563
175,175,-87.61672142,41.67199541
176,176,-87.72004542,41.64847608
177,177,-87.69180114,41.65604552
178,178,-87.68214804,41.65631585
179,179,-87.65354623,41.64955743
180,180,-87.62637452,41.66442597
181,181,-87.61564885,41.65604552
182,182,-87.70717461,41.64144731
183,183,-87.69144362,41.64306933
184,184,-87.67535511,41.63495922
185,185,-87.65926659,41.63522956
186,186,-87.64282056,41.64982776
187,187,-87.61564885,41.65036844
188,188,-87.70931975,41.62711944
189,189,-87.69680646,41.62738978
190,190,-87.68107547,41.62766012
191,191,-87.65247367,41.62820079
192,192,-87.64746835,41.62847113
193,193,-87.59991786,41.62576776
194,194,-87.705387,41.61306191
195,195,-87.68965601,41.61333225
196,196,-87.66641704,41.61387293
197,197,-87.65032853,41.61387293
