poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
1,roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
2,school,"1,000 Sq. Ft. GFA",1,1.37,0.1,1,0
3,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.36,0,1
4,hospital,"1,000 Sq. Ft. GFA",1,0.97,0.1,1,0
5,industrial,"1,000 Sq. Ft. GFA",1,0.63,0.1,1,0
6,office,"1,000 Sq. Ft. GFA",1,1.15,0.1,1,0
7,yes,"1,000 Sq. Ft. GFA",1,1.0,1.0,1,1
8,commercial,"1,000 Sq. Ft. GFA",1,0.63,0.1,1,0
9,train_station,"1,000 Sq. Ft. GFA",1,1.72,0.1,1,0
10,residential,"1,000 Sq. Ft. GFA",1,0.1,0.36,0,1
11,construction,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
12,house,"1,000 Sq. Ft. GFA",1,0.1,0.44,0,1
13,retail,"1,000 Sq. Ft. GFA",1,6.84,0.1,1,0
14,church,"1,000 Sq. Ft. GFA",1,0.49,0.1,1,0
15,hotel,"1,000 Sq. Ft. GFA",1,0.1,0.6,0,1
16,temple,"1,000 Sq. Ft. GFA",1,4.22,0.1,1,0
17,university,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
