name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_FFTT1,VDF_cap1
East 6th Street,0,5591077,1,1991,1,19.04423821,1,30,,residential,6,"LINESTRING (-111.9304264 33.4231268, -111.930412 33.4231839, -111.9304005 33.4232277, -111.9303882 33.423295)",walk;auto;bike,1,0,,
East 6th Street,1,5591077,1991,1,1,19.04423821,1,30,,residential,6,"LINESTRING (-111.9303882 33.423295, -111.9304005 33.4232277, -111.930412 33.4231839, -111.9304264 33.4231268)",walk;auto;bike,1,0,,
East 6th Street,2,5591077,1991,2,1,184.2463407,1,30,,residential,6,"LINESTRING (-111.9303882 33.423295, -111.9303108 33.4236887, -111.9302973 33.4237531, -111.9302813 33.4238045, -111.930243 33.4238667, -111.9302129 33.4238974, -111.9301639 33.4239305, -111.9301123 33.4239534, -111.929686 33.4241011, -111.929663 33.424109, -111.9292198 33.4242567, -111.9290798 33.4242989)",walk;auto;bike,1,0,,
East 6th Street,3,5591077,2,1991,1,184.2463407,1,30,,residential,6,"LINESTRING (-111.9290798 33.4242989, -111.9292198 33.4242567, -111.929663 33.424109, -111.929686 33.4241011, -111.9301123 33.4239534, -111.9301639 33.4239305, -111.9302129 33.4238974, -111.930243 33.4238667, -111.9302813 33.4238045, -111.9302973 33.4237531, -111.9303108 33.4236887, -111.9303882 33.423295)",walk;auto;bike,1,0,,
West 6th Street,4,5591085,417,2116,1,51.80434671,1,40,,residential,6,"LINESTRING (-111.9412665 33.4243385, -111.9407083 33.4243409)",walk;auto;bike,1,0,,
West 6th Street,5,5591085,2116,417,1,51.80434671,1,40,,residential,6,"LINESTRING (-111.9407083 33.4243409, -111.9412665 33.4243385)",walk;auto;bike,1,0,,
West 6th Street,6,5591085,2116,2366,1,58.4400327,1,40,,residential,6,"LINESTRING (-111.9407083 33.4243409, -111.9400786 33.4243437)",walk;auto;bike,1,0,,
West 6th Street,7,5591085,2366,2116,1,58.4400327,1,40,,residential,6,"LINESTRING (-111.9400786 33.4243437, -111.9407083 33.4243409)",walk;auto;bike,1,0,,
East 6th Street,8,5591100,331,2068,1,7.657979826,1,40,,residential,6,"LINESTRING (-111.9376334 33.4243567, -111.9375509 33.4243581)",walk;auto;bike,1,0,,
East 6th Street,9,5591100,2068,331,1,7.657979826,1,40,,residential,6,"LINESTRING (-111.9375509 33.4243581, -111.9376334 33.4243567)",walk;auto;bike,1,0,,
East 6th Street,10,5591100,2068,2064,1,17.89278234,1,40,,residential,6,"LINESTRING (-111.9375509 33.4243581, -111.9373581 33.4243583)",walk;auto;bike,1,0,,
East 6th Street,11,5591100,2064,2068,1,17.89278234,1,40,,residential,6,"LINESTRING (-111.9373581 33.4243583, -111.9375509 33.4243581)",walk;auto;bike,1,0,,
East 6th Street,12,5591100,2064,1676,1,55.76646796,1,40,,residential,6,"LINESTRING (-111.9373581 33.4243583, -111.9367572 33.424359)",walk;auto;bike,1,0,,
East 6th Street,13,5591100,1676,2064,1,55.76646796,1,40,,residential,6,"LINESTRING (-111.9367572 33.424359, -111.9373581 33.4243583)",walk;auto;bike,1,0,,
East 6th Street,14,5591100,1676,6,1,8.463806439,1,40,,residential,6,"LINESTRING (-111.9367572 33.424359, -111.936666 33.4243591)",walk;auto;bike,1,0,,
East 6th Street,15,5591100,6,1676,1,8.463806439,1,40,,residential,6,"LINESTRING (-111.936666 33.4243591, -111.9367572 33.424359)",walk;auto;bike,1,0,,
East 6th Street,16,5591100,6,1675,1,9.79113526,1,40,,residential,6,"LINESTRING (-111.936666 33.4243591, -111.9365605 33.4243597)",walk;auto;bike,1,0,,
East 6th Street,17,5591100,1675,6,1,9.79113526,1,40,,residential,6,"LINESTRING (-111.9365605 33.4243597, -111.936666 33.4243591)",walk;auto;bike,1,0,,
East 6th Street,18,5591100,1675,1127,1,30.32014811,1,40,,residential,6,"LINESTRING (-111.9365605 33.4243597, -111.9362338 33.4243617)",walk;auto;bike,1,0,,
East 6th Street,19,5591100,1127,1675,1,30.32014811,1,40,,residential,6,"LINESTRING (-111.9362338 33.4243617, -111.9365605 33.4243597)",walk;auto;bike,1,0,,
East 6th Street,20,5591100,1127,2149,1,35.05323076,1,40,,residential,6,"LINESTRING (-111.9362338 33.4243617, -111.9358561 33.4243639)",walk;auto;bike,1,0,,
East 6th Street,21,5591100,2149,1127,1,35.05323076,1,40,,residential,6,"LINESTRING (-111.9358561 33.4243639, -111.9362338 33.4243617)",walk;auto;bike,1,0,,
East 6th Street,22,5591100,2149,1133,1,32.32475832,1,40,,residential,6,"LINESTRING (-111.9358561 33.4243639, -111.9355078 33.424366)",walk;auto;bike,1,0,,
East 6th Street,23,5591100,1133,2149,1,32.32475832,1,40,,residential,6,"LINESTRING (-111.9355078 33.424366, -111.9358561 33.4243639)",walk;auto;bike,1,0,,
East 6th Street,24,5591100,1133,2154,1,10.83782252,1,40,,residential,6,"LINESTRING (-111.9355078 33.424366, -111.9353948 33.4243414)",walk;auto;bike,1,0,,
East 6th Street,25,5591100,2154,1133,1,10.83782252,1,40,,residential,6,"LINESTRING (-111.9353948 33.4243414, -111.9355078 33.424366)",walk;auto;bike,1,0,,
East 6th Street,26,5591100,2154,1283,1,27.76120227,1,40,,residential,6,"LINESTRING (-111.9353948 33.4243414, -111.9353091 33.4243324, -111.9350964 33.4243366)",walk;auto;bike,1,0,,
East 6th Street,27,5591100,1283,2154,1,27.76120227,1,40,,residential,6,"LINESTRING (-111.9350964 33.4243366, -111.9353091 33.4243324, -111.9353948 33.4243414)",walk;auto;bike,1,0,,
East 6th Street,28,5591100,1283,66,1,10.72126579,1,40,,residential,6,"LINESTRING (-111.9350964 33.4243366, -111.9349809 33.4243346)",walk;auto;bike,1,0,,
East 6th Street,29,5591100,66,1283,1,10.72126579,1,40,,residential,6,"LINESTRING (-111.9349809 33.4243346, -111.9350964 33.4243366)",walk;auto;bike,1,0,,
South Maple Avenue,30,5591429,7,2252,1,67.3372226,1,30,,residential,6,"LINESTRING (-111.9412608 33.4219305, -111.9412432 33.4213251)",walk;auto;bike,1,0,,
South Maple Avenue,31,5591429,2252,7,1,67.3372226,1,30,,residential,6,"LINESTRING (-111.9412432 33.4213251, -111.9412608 33.4219305)",walk;auto;bike,1,0,,
South Maple Avenue,32,5591429,2252,2260,1,4.138491423,1,30,,residential,6,"LINESTRING (-111.9412432 33.4213251, -111.9412418 33.4212879)",walk;auto;bike,1,0,,
South Maple Avenue,33,5591429,2260,2252,1,4.138491423,1,30,,residential,6,"LINESTRING (-111.9412418 33.4212879, -111.9412432 33.4213251)",walk;auto;bike,1,0,,
South Maple Avenue,34,5591429,2260,152,1,6.483966194,1,30,,residential,6,"LINESTRING (-111.9412418 33.4212879, -111.9412404 33.4212296)",walk;auto;bike,1,0,,
South Maple Avenue,35,5591429,152,2260,1,6.483966194,1,30,,residential,6,"LINESTRING (-111.9412404 33.4212296, -111.9412418 33.4212879)",walk;auto;bike,1,0,,
South Maple Avenue,36,5591429,152,2235,1,3.313933721,1,30,,residential,6,"LINESTRING (-111.9412404 33.4212296, -111.9412399 33.4211998)",walk;auto;bike,1,0,,
South Maple Avenue,37,5591429,2235,152,1,3.313933721,1,30,,residential,6,"LINESTRING (-111.9412399 33.4211998, -111.9412404 33.4212296)",walk;auto;bike,1,0,,
South Maple Avenue,38,5591429,2235,2234,1,75.34019394,1,30,,residential,6,"LINESTRING (-111.9412399 33.4211998, -111.9412309 33.4205714, -111.94123 33.4205223)",walk;auto;bike,1,0,,
South Maple Avenue,39,5591429,2234,2235,1,75.34019394,1,30,,residential,6,"LINESTRING (-111.94123 33.4205223, -111.9412309 33.4205714, -111.9412399 33.4211998)",walk;auto;bike,1,0,,
