name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
East 6th Street,0,5591077,0,1,1,18.99,1,30,1000,residential,6,"LINESTRING (-111.9304264 33.4231268, -111.9304120 33.4231839, -111.9304005 33.4232277, -111.9303882 33.4232950)",walk;bike,1,0,,
East 6th Street,1,5591077,1,0,1,18.99,1,30,1000,residential,6,"LINESTRING (-111.9303882 33.4232950, -111.9304005 33.4232277, -111.9304120 33.4231839, -111.9304264 33.4231268)",walk;bike,1,0,,
East 6th Street,2,5591077,1,2,1,184.18,1,30,1000,residential,6,"LINESTRING (-111.9303882 33.4232950, -111.9303108 33.4236887, -111.9302973 33.4237531, -111.9302813 33.4238045, -111.9302430 33.4238667, -111.9302129 33.4238974, -111.9301639 33.4239305, -111.9301123 33.4239534, -111.9296860 33.4241011, -111.9296630 33.4241090, -111.9292198 33.4242567, -111.9290798 33.4242989)",walk;bike,1,0,,
East 6th Street,3,5591077,2,1,1,184.18,1,30,1000,residential,6,"LINESTRING (-111.9290798 33.4242989, -111.9292198 33.4242567, -111.9296630 33.4241090, -111.9296860 33.4241011, -111.9301123 33.4239534, -111.9301639 33.4239305, -111.9302129 33.4238974, -111.9302430 33.4238667, -111.9302813 33.4238045, -111.9302973 33.4237531, -111.9303108 33.4236887, -111.9303882 33.4232950)",walk;bike,1,0,,
West 6th Street,4,5591085,3,4,1,51.89,1,40,1000,residential,6,"LINESTRING (-111.9412665 33.4243385, -111.9407083 33.4243409)",walk;bike,1,0,,
West 6th Street,5,5591085,4,3,1,51.89,1,40,1000,residential,6,"LINESTRING (-111.9407083 33.4243409, -111.9412665 33.4243385)",walk;bike,1,0,,
West 6th Street,6,5591085,4,2367,1,58.54,1,40,1000,residential,6,"LINESTRING (-111.9407083 33.4243409, -111.9400786 33.4243437)",walk;bike,1,0,,
West 6th Street,7,5591085,2367,4,1,58.54,1,40,1000,residential,6,"LINESTRING (-111.9400786 33.4243437, -111.9407083 33.4243409)",walk;bike,1,0,,
East 6th Street,8,5591100,6,7,1,7.67,1,40,1000,residential,6,"LINESTRING (-111.9376334 33.4243567, -111.9375509 33.4243581)",walk;bike,1,0,,
East 6th Street,9,5591100,7,6,1,7.67,1,40,1000,residential,6,"LINESTRING (-111.9375509 33.4243581, -111.9376334 33.4243567)",walk;bike,1,0,,
East 6th Street,10,5591100,7,8,1,17.92,1,40,1000,residential,6,"LINESTRING (-111.9375509 33.4243581, -111.9373581 33.4243583)",walk;bike,1,0,,
East 6th Street,11,5591100,8,7,1,17.92,1,40,1000,residential,6,"LINESTRING (-111.9373581 33.4243583, -111.9375509 33.4243581)",walk;bike,1,0,,
East 6th Street,12,5591100,8,9,1,55.86,1,40,1000,residential,6,"LINESTRING (-111.9373581 33.4243583, -111.9367572 33.4243590)",walk;bike,1,0,,
East 6th Street,13,5591100,9,8,1,55.86,1,40,1000,residential,6,"LINESTRING (-111.9367572 33.4243590, -111.9373581 33.4243583)",walk;bike,1,0,,
East 6th Street,14,5591100,9,10,1,8.48,1,40,1000,residential,6,"LINESTRING (-111.9367572 33.4243590, -111.9366660 33.4243591)",walk;bike,1,0,,
East 6th Street,15,5591100,10,9,1,8.48,1,40,1000,residential,6,"LINESTRING (-111.9366660 33.4243591, -111.9367572 33.4243590)",walk;bike,1,0,,
