mvmt_id,node_id,osm_node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,lanes,ib_osm_node_id,ob_osm_node_id,type,penalty,capacity,ctrl_type,mvmt_txt_id,geometry,volume,free_speed,allowed_uses
0,0,41529691,,1,1,1,589,1,1,1,6106985024,4663760657,left,,,,SBL,"LINESTRING (-111.9304085 33.4231974, -111.9303414 33.4231158)",,,walk;bike
1,0,41529691,,1,1,1,602,1,1,1,6106985024,330694011,right,,,,SBR,"LINESTRING (-111.9304085 33.4231974, -111.9304890 33.4231763)",,,walk;bike
2,0,41529691,,590,1,1,0,1,1,1,4663760657,6106985024,right,,,,WBR,"LINESTRING (-111.9303414 33.4231158, -111.9304085 33.4231974)",,,walk;bike
3,0,41529691,,590,1,1,602,1,1,1,4663760657,330694011,thru,,,,WBT,"LINESTRING (-111.9303414 33.4231158, -111.9304890 33.4231763)",,,walk;bike
4,0,41529691,,1911,2,2,0,1,1,1,330694047,6106985024,left,,,,EBL,"LINESTRING (-111.9305115 33.4231378, -111.9304085 33.4231974)",,,walk;bike
5,0,41529691,,1911,2,2,589,1,1,1,330694047,4663760657,thru,,,,EBT,"LINESTRING (-111.9305115 33.4231378, -111.9303414 33.4231158)",,,walk;bike
6,0,41529691,,1911,1,1,602,1,1,1,330694047,330694011,uturn,,,,EBU,"LINESTRING (-111.9305115 33.4231378, -111.9304890 33.4231763)",,,walk;bike
7,1,6106985024,,0,1,1,2,1,1,1,41529691,41529697,thru,,,,NBT,"LINESTRING (-111.9304015 33.4232237, -111.9303742 33.4233662)",,,walk;bike
8,1,6106985024,,0,1,1,3218,1,1,1,41529691,5261576414,left,,,,NBL,"LINESTRING (-111.9304015 33.4232237, -111.9304726 33.4233092)",,,walk;bike
9,1,6106985024,,3,1,1,1,1,1,1,41529697,41529691,thru,,,,WBT,"LINESTRING (-111.9303742 33.4233662, -111.9304015 33.4232237)",,,walk;bike
10,1,6106985024,,3,1,1,3218,1,1,1,41529697,5261576414,right,,,,WBR,"LINESTRING (-111.9303742 33.4233662, -111.9304726 33.4233092)",,,walk;bike
11,1,6106985024,,3217,1,1,1,1,1,1,5280079890,41529691,left,,,,WBL,"LINESTRING (-111.9303043 33.4232789, -111.9304015 33.4232237)",,,walk
12,1,6106985024,,3217,1,1,2,1,1,1,5280079890,41529697,right,,,,WBR,"LINESTRING (-111.9303043 33.4232789, -111.9303742 33.4233662)",,,walk
13,1,6106985024,,3217,1,1,3218,1,1,1,5280079890,5261576414,thru,,,,WBT,"LINESTRING (-111.9303043 33.4232789, -111.9304726 33.4233092)",,,walk
14,2,41529697,,2,1,1,137,1,1,1,6106985024,5266149007,left,,,,EBL,"LINESTRING (-111.9291608 33.4242745, -111.9291068 33.4243674)",,,walk;bike
15,2,41529697,,2,1,1,2384,1,1,1,6106985024,5260200680,thru,,,,EBT,"LINESTRING (-111.9291608 33.4242745, -111.9289977 33.4243206)",,,walk;bike
16,2,41529697,,2,1,1,4934,1,1,1,6106985024,5280079914,right,,,,EBR,"LINESTRING (-111.9291608 33.4242745, -111.9290712 33.4242653)",,,walk;bike
17,2,41529697,,138,1,1,3,1,1,1,5266149007,6106985024,right,,,,SBR,"LINESTRING (-111.9291068 33.4243674, -111.9291608 33.4242745)",,,walk;bike
18,2,41529697,,138,1,1,2384,1,1,1,5266149007,5260200680,left,,,,SBL,"LINESTRING (-111.9291068 33.4243674, -111.9289977 33.4243206)",,,walk;bike
19,2,41529697,,138,1,1,4934,1,1,1,5266149007,5280079914,thru,,,,SBT,"LINESTRING (-111.9291068 33.4243674, -111.9290712 33.4242653)",,,walk;bike
20,2,41529697,,2385,1,1,3,1,1,1,5260200680,6106985024,thru,,,,WBT,"LINESTRING (-111.9289977 33.4243206, -111.9291608 33.4242745)",,,walk;bike
21,2,41529697,,2385,1,1,137,1,1,1,5260200680,5266149007,right,,,,WBR,"LINESTRING (-111.9289977 33.4243206, -111.9291068 33.4243674)",,,walk;bike
22,2,41529697,,2385,1,1,4934,1,1,1,5260200680,5280079914,left,,,,WBL,"LINESTRING (-111.9289977 33.4243206, -111.9290712 33.4242653)",,,walk;bike
23,2,41529697,,4935,1,1,3,1,1,1,5280079914,6106985024,left,,,,NBL,"LINESTRING (-111.9290712 33.4242653, -111.9291608 33.4242745)",,,walk;bike
24,2,41529697,,4935,1,1,137,1,1,1,5280079914,5266149007,thru,,,,NBT,"LINESTRING (-111.9290712 33.4242653, -111.9291068 33.4243674)",,,walk;bike
25,2,41529697,,4935,1,1,2384,1,1,1,5280079914,5260200680,right,,,,NBR,"LINESTRING (-111.9290712 33.4242653, -111.9289977 33.4243206)",,,walk;bike
26,3,3101265641,,5,1,1,1165,1,1,1,6885482622,3101265427,right,,,,WBR,"LINESTRING (-111.9411804 33.4243389, -111.9412669 33.4244107)",,,walk;bike
27,3,3101265641,,5,1,1,1919,1,1,1,6885482622,5080816830,left,,,,WBL,"LINESTRING (-111.9411804 33.4243389, -111.9412678 33.4242663)",,,walk;bike
28,3,3101265641,,5,1,1,1920,1,1,1,6885482622,5258562212,thru,,,,WBT,"LINESTRING (-111.9411804 33.4243389, -111.9413526 33.4243380)",,,walk;bike
29,3,3101265641,,1164,1,1,4,1,1,1,3101265427,6885482622,left,,,,SBL,"LINESTRING (-111.9412669 33.4244107, -111.9411804 33.4243389)",,,walk;bike
30,3,3101265641,,1164,1,1,1919,1,1,1,3101265427,5080816830,thru,,,,SBT,"LINESTRING (-111.9412669 33.4244107, -111.9412678 33.4242663)",,,walk;bike
31,3,3101265641,,1164,1,1,1920,1,1,1,3101265427,5258562212,right,,,,SBR,"LINESTRING (-111.9412669 33.4244107, -111.9413526 33.4243380)",,,walk;bike
32,3,3101265641,,1918,1,1,4,1,1,1,5080816830,6885482622,right,,,,NBR,"LINESTRING (-111.9412678 33.4242663, -111.9411804 33.4243389)",,,walk;bike
33,3,3101265641,,1918,1,1,1165,1,1,1,5080816830,3101265427,thru,,,,NBT,"LINESTRING (-111.9412678 33.4242663, -111.9412669 33.4244107)",,,walk;bike
34,3,3101265641,,1918,1,1,1920,1,1,1,5080816830,5258562212,left,,,,NBL,"LINESTRING (-111.9412678 33.4242663, -111.9413526 33.4243380)",,,walk;bike
35,3,3101265641,,1921,1,1,4,1,1,1,5258562212,6885482622,thru,,,,EBT,"LINESTRING (-111.9413526 33.4243380, -111.9411804 33.4243389)",,,walk;bike
36,3,3101265641,,1921,1,1,1165,1,1,1,5258562212,3101265427,left,,,,EBL,"LINESTRING (-111.9413526 33.4243380, -111.9412669 33.4244107)",,,walk;bike
37,3,3101265641,,1921,1,1,1919,1,1,1,5258562212,5080816830,right,,,,EBR,"LINESTRING (-111.9413526 33.4243380, -111.9412678 33.4242663)",,,walk;bike
38,4,6885482622,,4,1,1,6,1,1,1,3101265641,41529740_2625359015,thru,,,,EBT,"LINESTRING (-111.9407944 33.4243405, -111.9406222 33.4243413)",,,walk;bike
39,4,6885482622,,4,1,1,4647,1,1,1,3101265641,6885482624,left,,,,EBL,"LINESTRING (-111.9407944 33.4243405, -111.9407074 33.4244131)",,,walk;bike
40,4,6885482622,,7,1,1,5,1,1,1,41529740_2625359015,3101265641,thru,,,,WBT,"LINESTRING (-111.9406222 33.4243413, -111.9407944 33.4243405)",,,walk;bike
41,4,6885482622,,7,1,1,4647,1,1,1,41529740_2625359015,6885482624,right,,,,WBR,"LINESTRING (-111.9406222 33.4243413, -111.9407074 33.4244131)",,,walk;bike
42,4,6885482622,,4648,1,1,5,1,1,1,6885482624,3101265641,right,,,,SBR,"LINESTRING (-111.9407074 33.4244131, -111.9407944 33.4243405)",,,walk;bike
43,4,6885482622,,4648,1,1,6,1,1,1,6885482624,41529740_2625359015,left,,,,SBL,"LINESTRING (-111.9407074 33.4244131, -111.9406222 33.4243413)",,,walk;bike
44,6,2626664037,,9,1,1,4620,1,1,1,6700916759,6796038632,thru,,,,WBT,"LINESTRING (-111.9375922 33.4243574, -111.9376547 33.4244243)",,,walk;bike
45,6,2626664037,,4619,1,1,8,1,1,1,6796038632,6700916759,thru,,,,EBT,"LINESTRING (-111.9376820 33.4243000, -111.9375922 33.4243574)",,,walk;bike
46,7,6700916759,,8,1,1,10,1,1,1,2626664037,6700916754,thru,,,,EBT,"LINESTRING (-111.9375922 33.4243574, -111.9374648 33.4243582)",,,walk;bike
47,7,6700916759,,8,1,1,4537,1,1,1,2626664037,6700916761,right,,,,EBR,"LINESTRING (-111.9375922 33.4243574, -111.9375502 33.4242859)",,,walk;bike
48,7,6700916759,,11,1,1,9,1,1,1,6700916754,2626664037,thru,,,,WBT,"LINESTRING (-111.9374648 33.4243582, -111.9375922 33.4243574)",,,walk;bike
49,7,6700916759,,11,1,1,4537,1,1,1,6700916754,6700916761,left,,,,WBL,"LINESTRING (-111.9374648 33.4243582, -111.9375502 33.4242859)",,,walk;bike
50,7,6700916759,,4538,1,1,9,1,1,1,6700916761,2626664037,left,,,,NBL,"LINESTRING (-111.9375502 33.4242859, -111.9375922 33.4243574)",,,walk;bike
51,7,6700916759,,4538,1,1,10,1,1,1,6700916761,6700916754,right,,,,NBR,"LINESTRING (-111.9375502 33.4242859, -111.9374648 33.4243582)",,,walk;bike
52,8,6700916754,,10,1,1,12,1,1,1,6700916759,5415311336,thru,,,,EBT,"LINESTRING (-111.9374442 33.4243582, -111.9372720 33.4243584)",,,walk;bike
53,8,6700916754,,10,1,1,4529,1,1,1,6700916759,6700916756,right,,,,EBR,"LINESTRING (-111.9374442 33.4243582, -111.9373571 33.4242861)",,,walk;bike
54,8,6700916754,,13,1,1,11,1,1,1,5415311336,6700916759,thru,,,,WBT,"LINESTRING (-111.9372720 33.4243584, -111.9374442 33.4243582)",,,walk;bike
55,8,6700916754,,13,1,1,4529,1,1,1,5415311336,6700916756,left,,,,WBL,"LINESTRING (-111.9372720 33.4243584, -111.9373571 33.4242861)",,,walk;bike
56,8,6700916754,,4530,1,1,11,1,1,1,6700916756,6700916759,left,,,,NBL,"LINESTRING (-111.9373571 33.4242861, -111.9374442 33.4243582)",,,walk;bike
57,8,6700916754,,4530,1,1,12,1,1,1,6700916756,5415311336,right,,,,NBR,"LINESTRING (-111.9373571 33.4242861, -111.9372720 33.4243584)",,,walk;bike
58,9,5415311336,,12,1,1,14,1,1,1,6700916754,41529813,thru,,,,EBT,"LINESTRING (-111.9368433 33.4243589, -111.9366711 33.4243591)",,,walk;bike
59,9,5415311336,,12,1,1,3731,1,1,1,6700916754,5415311337,left,,,,EBL,"LINESTRING (-111.9368433 33.4243589, -111.9367485 33.4244308)",,,walk;bike
60,9,5415311336,,15,1,1,13,1,1,1,41529813,6700916754,thru,,,,WBT,"LINESTRING (-111.9366711 33.4243591, -111.9368433 33.4243589)",,,walk;bike
61,9,5415311336,,15,1,1,3731,1,1,1,41529813,5415311337,right,,,,WBR,"LINESTRING (-111.9366711 33.4243591, -111.9367485 33.4244308)",,,walk;bike
62,9,5415311336,,3730,1,1,13,1,1,1,5415311182,6700916754,left,,,,NBL,"LINESTRING (-111.9367669 33.4242873, -111.9368433 33.4243589)",,,walk
63,9,5415311336,,3730,1,1,14,1,1,1,5415311182,41529813,right,,,,NBR,"LINESTRING (-111.9367669 33.4242873, -111.9366711 33.4243591)",,,walk
