name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,0,41529691,traffic_signals,,signal,,tertiary,0,-111.9304264,33.4231268,,,
,1,6106985024,crossing,,,,residential,0,-111.9303882,33.423295,,,
,2,41529697,,,,,residential,0,-111.9290798,33.4242989,,,
,3,3101265641,,,,,residential,0,-111.9412665,33.4243385,,,
,4,6885482622,,,,,residential,0,-111.9407083,33.4243409,,,
,6,2626664037,,,,,residential,0,-111.9376334,33.4243567,,,
,7,6700916759,,,,,residential,0,-111.9375509,33.4243581,,,
,8,6700916754,,,,,residential,0,-111.9373581,33.4243583,,,
,9,5415311336,,,,,residential,0,-111.9367572,33.424359,,,
,10,41529813,,,,,residential,0,-111.936666,33.4243591,,,
,11,5415311335,,,,,residential,0,-111.9365605,33.4243597,,,
,12,5266139528,,,,,residential,0,-111.9362338,33.4243617,,,
,13,7071845839,,,,,residential,0,-111.9358561,33.4243639,,,
,14,5266139534,,,,,residential,0,-111.9355078,33.424366,,,
,15,7121895053,,,,,residential,0,-111.9353948,33.4243414,,,
,16,5300090339,,,,,residential,0,-111.9350964,33.4243366,,,
,17,316007232,traffic_signals,,signal,,tertiary,0,-111.9349809,33.4243346,,,
,18,41533533,,,,,primary,0,-111.9412608,33.4219305,,,
,19,7590725936,,,,,residential,0,-111.9412432,33.4213251,,,
,20,7809692863,,,,,residential,0,-111.9412418,33.4212879,,,
,21,863736785,,,,,residential,0,-111.9412404,33.4212296,,,
,22,7265020294,,,,,residential,0,-111.9412399,33.4211998,,,
,23,7265020288,,,,,residential,0,-111.94123,33.4205223,,,
,24,41563455,,,,,residential,0,-111.94234,33.4136148,,,
,25,41563456,,,,,residential,0,-111.9424188,33.4147283,,,
,26,7121998412,,,,,residential,0,-111.9424522,33.4157881,,,
,27,7121998409,,,,,residential,0,-111.9424525,33.4159781,,,
,28,7978107675,,,,,residential,0,-111.9424528,33.4161632,,,
,29,41563458,,,,,residential,0,-111.9424528,33.4161904,,,
,30,6892811494,,,,,residential,0,-111.9424497,33.4169032,,,
,31,41563460,,,,,residential,0,-111.9424525,33.4176183,,,
,32,6892811496,,,,,residential,0,-111.9424524,33.4177004,,,
,33,7121998415,,,,,residential,0,-111.9424528,33.4184029,,,
,34,41563464,,,,,residential,0,-111.9423945,33.4190482,,,
,35,3580722895,,,,,residential,0,-111.9423658,33.4196106,,,
,36,7265020297,,,,,residential,0,-111.9423734,33.4204313,,,
,37,41606207,,,,,residential,0,-111.9209653,33.4128775,,,
,38,,,,,,residential,2,-111.9209545,33.4125,,,boundary node created by osm2gmns
,40,2239876765,crossing,,,,primary,0,-111.9395362,33.4159003,,,
,41,316870046,,,,,primary,0,-111.9383,33.4149256,,,
,42,41624258,,,,,primary,0,-111.9373669,33.4146466,,,
,43,4346575408,,,,,primary,0,-111.9370216,33.4146084,,,
,46,41630202,,,,,residential,0,-111.940778,33.4264585,,,
,48,6672805083,,,,,primary,0,-111.9400726,33.4212626,,,
,49,6672805080,,,,,primary,0,-111.9400612,33.4209214,,,
,52,6700916752,,,,,residential,0,-111.9404614,33.4190531,,,
,53,6700916718,,,,,residential,0,-111.940488,33.4190526,,,
,54,863733746,,,,,residential,0,-111.9405973,33.4190507,,,
,55,41533538,,,,,residential,0,-111.9412375,33.4190521,,,
,56,863733736,,,,,residential,0,-111.9417794,33.4190532,,,
,57,863736881,,,,,residential,0,-111.9418437,33.4190521,,,
,58,,,,,,residential,2,-111.944,33.4189195,,,boundary node created by osm2gmns
,59,41662601,,,,,secondary,0,-111.9398928,33.4136273,,,
,60,6896147943,,,,,residential,0,-111.9404614,33.4136244,,,
,61,5770246252,,,,,residential,0,-111.9412969,33.4136201,,,
,62,5770246223,,,,,residential,0,-111.9421721,33.4136157,,,
,63,41695219,turning_circle,,,,residential,2,-111.9426338,33.4136098,,,
,64,41708464,,,,,residential,0,-111.9219906,33.4128945,,,
,65,,,,,,residential,2,-111.921994,33.4125,,,boundary node created by osm2gmns
,67,2239876847,crossing,,,,secondary,0,-111.9380605,33.4218977,,,
,68,2488540195,crossing,,,,secondary,0,-111.9367573,33.4219048,,,
,70,2488540196,crossing,,,,secondary,0,-111.9365628,33.4219033,,,
,71,5260151499,,,,,secondary,0,-111.9358468,33.4219032,,,
,72,5260151502,,,,,secondary,0,-111.9356516,33.4219032,,,
,73,2488540193,crossing,,,,secondary,0,-111.9350608,33.4218992,,,
,74,41714339,traffic_signals,,signal,,secondary,0,-111.9349659,33.4219488,,,
,75,2625359019,,,,,service,0,-111.9395019,33.4273825,,,
,76,5266179144,,,,,unclassified,0,-111.939719,33.4273828,,,
,77,5415311370,,,,,unclassified,0,-111.9398405,33.427384,,,
,79,337713512,,,,,tertiary,0,-111.9394161,33.4254973,,,
,80,5345624069,,,,,tertiary,0,-111.9392877,33.4254971,,,
,81,5345624072,,,,,tertiary,0,-111.9390426,33.4254967,,,
,82,5266180470,,,,,tertiary,0,-111.9388368,33.4254969,,,
,83,6700916820,crossing,,,,tertiary,0,-111.9382749,33.4254956,,,
,84,3642940510,,,,,tertiary,0,-111.938161,33.4254954,,,
,85,3101274975,crossing,,,,tertiary,0,-111.9367711,33.4254993,,,
