name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,0,544817184,,roof,,,"POLYGON ((-111.9352292 33.4240952, -111.935111 33.4240521, -111.9352258 33.4238326, -111.935344 33.4238756, -111.9352292 33.4240952))",POINT (-111.9352275 33.4239639),318.7,3430.2
,1,470126654,,,parking,,"POLYGON ((-111.9303016 33.4218494, -111.9301444 33.4218468, -111.9301691 33.4217259, -111.9301106 33.4217002, -111.9300921 33.4212476, -111.9302831 33.4212476, -111.9303106 33.4213531, -111.9303181 33.4217819, -111.9303016 33.4218494))",POINT (-111.9302113 33.4215347),1215.8,13086.5
Desert Financial Arena,2,28753079,,yes,,,"POLYGON ((-111.9312484 33.4248947, -111.9310682 33.4249233, -111.9308879 33.4249233, -111.9307163 33.4249018, -111.9305875 33.4248445, -111.9304674 33.4247442, -111.930426 33.4246253, -111.930426 33.4244964, -111.9304517 33.4243889, -111.9305118 33.4242815, -111.9306405 33.4241668, -111.9307865 33.4241095, -111.9310096 33.424088, -111.931207 33.4241024, -111.9313873 33.4241668, -111.9315246 33.4242815, -111.9315847 33.4244104, -111.9315933 33.4245393, -111.9315574 33.4246726, -111.9314802 33.4247657, -111.9313772 33.4248373, -111.9312484 33.4248947))",POINT (-111.9310035 33.4245108),8175.0,87994.7
,3,552261822,,,bicycle_parking,,"POLYGON ((-111.9324523 33.4224549, -111.9324575 33.4224164, -111.932453 33.4223725, -111.932436 33.4223169, -111.9324217 33.4222853, -111.9323352 33.4223039, -111.9323426 33.422328, -111.9323538 33.4223311, -111.9323626 33.4224545, -111.9324523 33.4224549))",POINT (-111.9324018 33.4223747),155.4,1672.4
Sun Angel Clubhouse,4,30421308,,yes,,,"POLYGON ((-111.9221155 33.4277269, -111.9218581 33.4280134, -111.9221928 33.4282311, -111.9224503 33.4279418, -111.9221155 33.4277269))",POINT (-111.9221543 33.4279785),1565.7,16852.9
,5,552634950,,,bicycle_parking,,"POLYGON ((-111.9330479 33.4161991, -111.9330233 33.4161765, -111.932988 33.4161387, -111.9329796 33.4161156, -111.9326971 33.4161175, -111.9327002 33.4162409, -111.9329997 33.4162339, -111.9330267 33.4162254, -111.9330428 33.4162109, -111.9330479 33.4161991))",POINT (-111.9328565 33.4161787),394.2,4242.7
Thai Basil,6,544152063,,yes,restaurant,,"POLYGON ((-111.9259802 33.4162503, -111.9259829 33.4163577, -111.9258139 33.4163589, -111.9258139 33.4163208, -111.9258354 33.4163208, -111.9258327 33.4162189, -111.92594 33.4162223, -111.9259802 33.4162503))",POINT (-111.9259025 33.4162933),211.5,2276.3
,7,553577580,,,bicycle_parking,,"POLYGON ((-111.9371332 33.4186871, -111.9371845 33.4186869, -111.9371838 33.4185501, -111.9371325 33.4185503, -111.9371332 33.4186871))",POINT (-111.9371585 33.4186186),72.2,777.2
,8,592246058,,apartments,,,"POLYGON ((-111.9227947 33.421781, -111.9228358 33.4217809, -111.9228359 33.4217988, -111.9229088 33.4217986, -111.9229088 33.4217824, -111.9229532 33.4217824, -111.9229532 33.4217938, -111.9229902 33.4217938, -111.9229902 33.42181, -111.9230611 33.4218101, -111.9230611 33.4217937, -111.923108 33.4217938, -111.9231083 33.4216968, -111.923042 33.4216967, -111.9230421 33.4216556, -111.923089 33.4216557, -111.9230891 33.4216313, -111.9231146 33.4216314, -111.9231148 33.4215676, -111.9230875 33.4215676, -111.9230875 33.4215414, -111.92307 33.4215414, -111.9230701 33.4215096, -111.9231016 33.4215096, -111.9231016 33.4214483, -111.92308 33.4214483, -111.92308 33.4214157, -111.9229657 33.4214158, -111.9229658 33.4214584, -111.9229093 33.4214585, -111.9229094 33.4214978, -111.9229603 33.4214977, -111.9229604 33.4215432, -111.922978 33.4215432, -111.9229782 33.4215827, -111.9229256 33.4215829, -111.9229257 33.4216178, -111.9229727 33.4216177, -111.9229729 33.4216599, -111.9230062 33.4216598, -111.9230064 33.4216992, -111.9229472 33.4216994, -111.9229471 33.4216864, -111.9228865 33.4216866, -111.9228863 33.4216425, -111.9228488 33.4216426, -111.9228489 33.4216803, -111.9227944 33.4216804, -111.9227947 33.421781))",POINT (-111.9229852 33.421639),720.2,7751.8
Stadium Parking Structure,9,28769223,,parking,parking,,"POLYGON ((-111.9336976 33.4245985, -111.9337004 33.4243083, -111.933707 33.4236387, -111.9335707 33.4236378, -111.9322628 33.4236289, -111.9322181 33.4236286, -111.9322148 33.4239671, -111.9324067 33.4239684, -111.9326403 33.42397, -111.9326373 33.4242807, -111.9330802 33.4242837, -111.9330772 33.4245943, -111.9336976 33.4245985))",POINT (-111.9331086 33.4240275),10584.8,113934.0
