name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,0,104202187,,,,,,,-79.9406197,40.4442419,,,
,1,104202218,,,,,,,-79.9396927,40.4442792,,,
,2,104206938,,,,,,,-79.9487549,40.4402373,,,
,3,104382840,,,,,,,-79.9371968,40.4397314,,,
,4,104383352,,,,,,,-79.9419585,40.4444714,,,
,5,104472678,,,,,,,-79.9374519,40.4465608,,,
,6,104523061,,,,,,,-79.9363249,40.4437833,,,
,7,104524752,,,,,,,-79.936641,40.4448637,,,
,8,104527838,,,,,,,-79.9391116,40.4456878,,,
,9,104527844,,,,,,,-79.9378968,40.4455459,,,
,10,104583190,traffic_signals,,signal,,,,-79.9388213,40.4439138,,,
,11,104583203,,,,,,,-79.9372036,40.4446124,,,
,12,104597027,,,,,,,-79.9393831,40.4450214,,,
,13,104625425,,,,,,,-79.9424956,40.4454987,,,
,14,104683076,,,,,,,-79.9422539,40.4401478,,,
,15,104683082,,,,,,,-79.942126,40.4404288,,,
,16,104683089,,,,,,,-79.9415669,40.4417563,,,
,17,104930999,,,,,,,-79.9489127,40.4463571,,,
,18,104931010,,,,,,,-79.9470489,40.4465073,,,
,19,104991730,,,,,,,-79.9488393,40.4458056,,,
,20,104991736,,,,,,,-79.9468204,40.4459715,,,
,21,105012943,,,,,,,-79.9382411,40.4433566,,,
,22,105012956,traffic_signals,,signal,,,,-79.9376024,40.4426698,,,
,23,105012969,,,,,,,-79.9368713,40.4418697,,,
,24,105013390,,,,,,,-79.9492892,40.4442898,,,
,25,105013396,traffic_signals,,signal,,,,-79.9486742,40.4444446,,,
,26,105013419,,,,,,,-79.9463542,40.4445391,,,
,27,105013433,traffic_signals,,signal,,,,-79.9429911,40.4446357,,,
,28,105018904,,,,,,,-79.9437908,40.4462183,,,
,29,105058025,,,,,,,-79.9371006,40.4399776,,,
,30,105116940,,,,,,,-79.9377868,40.4449003,,,
,31,105142357,,,,,,,-79.9365934,40.4404431,,,
,32,105142425,turning_circle,,,,,,-79.937696,40.4399332,,,
,33,105251139,,,,,,,-79.9490145,40.4416448,,,
,34,105692069,stop,,,,,,-79.9465624,40.4454378,,,
,35,105796204,,,,,,,-79.9381585,40.4397787,,,
,36,105935837,,,,,,,-79.9487756,40.4452819,,,
,37,105935846,,,,,,,-79.9485229,40.4439881,,,
,38,106087409,,,,,,,-79.9422545,40.4460027,,,
,39,106098077,,,,,,,-79.9470669,40.4414939,,,
,40,106119248,,,,,,,-79.9493656,40.445238,,,
,41,106313696,,,,,,,-79.9395563,40.4418205,,,
,42,106313719,,,,,,,-79.9384198,40.4423063,,,
,43,107685511,,,,,,,-79.9387515,40.4401886,,,
,44,107697981,,,,,,,-79.938043,40.4417879,,,
,45,270186751,,,,,,,-79.9472574,40.4445083,,,
,46,270186904,crossing,,,,,,-79.9426392,40.4401684,,,
,47,270624664,,,,,,,-79.9476899,40.4411746,,,
,48,270927856,,,,,,,-79.9481911,40.4407889,,,
,49,281362581,,,,,,,-79.9422658,40.4458916,,,
,50,281362583,,,,,,,-79.9432184,40.4459056,,,
,51,281362585,,,,,,,-79.9429497,40.4459701,,,
,52,281362588,,,,,,,-79.9440372,40.4446297,,,
,53,302434601,,,,,,,-79.9469296,40.4418855,,,
,54,302435921,,,,,,,-79.9464687,40.4421031,,,
,55,302440332,,,,,,,-79.9464662,40.4429352,,,
,56,302440336,,,,,,,-79.945336,40.4429095,,,
,57,302450054,,,,,,,-79.9464403,40.4411604,,,
,58,302450069,,,,,,,-79.9442002,40.4397952,,,
,59,302450295,,,,,,,-79.9441916,40.4402067,,,
,60,302450439,,,,,,,-79.9438998,40.4401218,,,
,61,302450450,,,,,,,-79.9426724,40.4400957,,,
,62,302450472,,,,,,,-79.9423634,40.4404353,,,
