name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
Forbes-Craig Apartments,0,810153981,,dormitory,,,"POLYGON ((-79.94925569999999 40.4445977, -79.9489909 40.4446671, -79.9489189 40.4445066, -79.94932059999999 40.444409, -79.9493755 40.4445268, -79.94925050000001 40.4445889, -79.94925569999999 40.4445977))",POINT (-79.9491451 40.4445352),628.0,6759.5
,1,173057616,,yes,,,"POLYGON ((-79.9485754 40.4460566, -79.94856900000001 40.4460016, -79.9487579 40.4459888, -79.9487644 40.4460437, -79.9485754 40.4460566))",POINT (-79.9486666 40.4460227),98.7,1062.7
,2,544173714,,yes,,,"POLYGON ((-79.9379196 40.4405379, -79.9379835 40.4405873, -79.9378419 40.4406944, -79.9377425 40.4406177, -79.9378134 40.4405641, -79.9378488 40.4405914, -79.9379196 40.4405379))",POINT (-79.93786230000001 40.4406136),166.7,1794.4
,3,543159682,,yes,,,"POLYGON ((-79.9473435 40.4463185, -79.9473536 40.4464023, -79.9472708 40.4464081, -79.9472607 40.4463244, -79.9473435 40.4463185))",POINT (-79.9473072 40.4463633),65.7,707.5
,4,172944549,,house,,,"POLYGON ((-79.94877459999999 40.4461679, -79.9485407 40.4461834, -79.9485332 40.4461178, -79.948767 40.4461023, -79.94877459999999 40.4461679))",POINT (-79.9486539 40.4461429),145.1,1561.3
,5,544174183,,residential,,,"POLYGON ((-79.9379203 40.4444969, -79.9379411 40.4445258, -79.9379167 40.444536, -79.93793839999999 40.4445661, -79.93785560000001 40.4446009, -79.9378131 40.4445419, -79.9379203 40.4444969))",POINT (-79.9378811 40.4445493),68.9,741.5
Bramer House,6,27643509,,yes,,,"POLYGON ((-79.9410537 40.4458792, -79.94114810000001 40.4459119, -79.9410623 40.4460621, -79.94090780000001 40.4460164, -79.9409421 40.4459642, -79.9409936 40.4459772, -79.9410537 40.4458792))",POINT (-79.94103920000001 40.4459759),197.5,2126.1
,7,543159700,,yes,,,"POLYGON ((-79.9478089 40.4459675, -79.94782720000001 40.4461182, -79.947783 40.4461214, -79.9477784 40.4460836, -79.94775180000001 40.4460855, -79.9477564 40.4461236, -79.9476875 40.4461285, -79.94766920000001 40.4459774, -79.9478089 40.4459675))",POINT (-79.94774719999999 40.4460451),190.2,2047.2
,8,544173522,,yes,,,"POLYGON ((-79.9369166 40.4429958, -79.936988 40.4430712, -79.93691029999999 40.4431142, -79.9368388 40.4430389, -79.9369166 40.4429958))",POINT (-79.93691339999999 40.443055),84.2,906.8
,9,544174140,,residential,,,"POLYGON ((-79.9383493 40.4443018, -79.9383923 40.4443591, -79.9384043 40.4443539, -79.9384257 40.4443824, -79.9383005 40.4444372, -79.9382361 40.4443514, -79.9383493 40.4443018))",POINT (-79.9383278 40.4443696),125.5,1350.4
,10,544174171,,yes,,,"POLYGON ((-79.9365521 40.4445493, -79.93661179999999 40.4446292, -79.9365401 40.4446604, -79.9364805 40.4445806, -79.9365521 40.4445493))",POINT (-79.9365461 40.4446049),71.0,763.9
,11,544174316,,yes,,,"POLYGON ((-79.93772610000001 40.4453742, -79.93773090000001 40.4454398, -79.9376252 40.4454443, -79.9376204 40.4453787, -79.93772610000001 40.4453742))",POINT (-79.9376757 40.4454093),65.2,701.5
Margaret Morrison Carnegie Hall,12,27591314,,university,,,"POLYGON ((-79.94151650000001 40.4426221, -79.941714 40.442093, -79.9417397 40.442106, -79.941774 40.4421126, -79.9417998 40.442093, -79.9418084 40.4420734, -79.9418084 40.4420538, -79.941774 40.4420342, -79.9417311 40.4420342, -79.941774 40.4419427, -79.94160239999999 40.4419035, -79.94158520000001 40.4419493, -79.94152510000001 40.4419754, -79.9414221 40.4419558, -79.9413792 40.4419101, -79.9413878 40.4418644, -79.94122470000001 40.4418186, -79.941199 40.4418905, -79.94117319999999 40.4418905, -79.9411303 40.4419427, -79.9411303 40.4420081, -79.9411475 40.4420146, -79.9411303 40.4420734, -79.94129340000001 40.4421126, -79.9413105 40.4420734, -79.94151650000001 40.4421191, -79.9414307 40.4423869, -79.94135350000001 40.4423673, -79.94128480000001 40.4425698, -79.94151650000001 40.4426221))",POINT (-79.94146619999999 40.4421716),2129.3,22919.5
,13,544173701,,residential,,,"POLYGON ((-79.9374146 40.4399792, -79.93738209999999 40.4399726, -79.9373799 40.4399788, -79.9373057 40.4399637, -79.937308 40.439957, -79.9372085 40.4399367, -79.9372419 40.4398409, -79.937348 40.4398626, -79.93734569999999 40.4398691, -79.93741470000001 40.4398832, -79.93741679999999 40.4398771, -79.9375127 40.4398967, -79.9375065 40.4399145, -79.9376036 40.4399343, -79.9375692 40.4400329, -79.93746640000001 40.4400119, -79.9374737 40.4399912, -79.9374146 40.4399792))",POINT (-79.937408 40.4399335),360.3,3878.0
,14,544173751,,residential,,,"POLYGON ((-79.9374359 40.440949, -79.9374208 40.4409366, -79.93740510000001 40.4409236, -79.9375017 40.4408553, -79.9375592 40.4409029, -79.9375314 40.4409225, -79.93754629999999 40.4409348, -79.9374775 40.4409834, -79.9374359 40.440949))",POINT (-79.9374856 40.4409194),95.3,1025.6
,15,158123823,,,parking,,"POLYGON ((-79.9462221 40.4442092, -79.9462801 40.4442094, -79.9463059 40.4442094, -79.9462716 40.4438371, -79.9461953 40.4438383, -79.9462221 40.4442092))",POINT (-79.94624899999999 40.4440264),278.6,2998.4
,16,544174214,,yes,,,"POLYGON ((-79.9412196 40.4463563, -79.94123070000001 40.4464473, -79.9414992 40.4464281, -79.94151220000001 40.4465345, -79.9413912 40.4465431, -79.94139560000001 40.4465792, -79.9412624 40.4465887, -79.9412592 40.4465622, -79.94113710000001 40.4465709, -79.9411118 40.446364, -79.9412196 40.4463563))",POINT (-79.9412901 40.4464866),529.5,5699.3
,17,173058901,,retail,,,"POLYGON ((-79.94860250000001 40.4452297, -79.9484361 40.4452406, -79.9484357 40.4452371, -79.9483814 40.4452406, -79.9483726 40.4451631, -79.9483918 40.4451618, -79.94839 40.4451454, -79.94837080000001 40.4451467, -79.948362 40.4450698, -79.94841630000001 40.4450662, -79.9484159 40.4450625, -79.9485822 40.4450516, -79.94860250000001 40.4452297))",POINT (-79.9484837 40.4451478),367.2,3952.8
,18,544174581,,yes,,,"POLYGON ((-79.93754989999999 40.4413836, -79.9376644 40.4414477, -79.93759799999999 40.4415169, -79.9374835 40.4414528, -79.93754989999999 40.4413836))",POINT (-79.937574 40.4414503),115.2,1239.9
,19,544173688,,yes,,,"POLYGON ((-79.9370041 40.4416047, -79.9370613 40.4416667, -79.93695169999999 40.4417257, -79.93689449999999 40.4416637, -79.9370041 40.4416047))",POINT (-79.9369779 40.4416652),95.1,1024.1
,20,27591674,,yes,,,"POLYGON ((-79.9387801 40.4416095, -79.9386951 40.4414883, -79.938541 40.441551, -79.938626 40.4416721, -79.9387801 40.4416095))",POINT (-79.93866060000001 40.4415802),226.2,2435.2
,21,544174507,,yes,,,"POLYGON ((-79.9382616 40.4438437, -79.9382888 40.4438724, -79.938247 40.4438955, -79.9382198 40.4438668, -79.9382616 40.4438437))",POINT (-79.9382543 40.4438696),17.5,188.0
,22,544174481,,yes,,,"POLYGON ((-79.9403978 40.4464143, -79.94041110000001 40.4464848, -79.940319 40.4464949, -79.9403058 40.4464244, -79.9403978 40.4464143))",POINT (-79.94035839999999 40.4464546),62.0,667.9
,23,544174653,,yes,,,"POLYGON ((-79.943962 40.4462078, -79.9440453 40.4462067, -79.94404710000001 40.4462944, -79.9440645 40.4462941, -79.9440658 40.4463557, -79.9439352 40.4463573, -79.9439327 40.4462389, -79.9439627 40.4462385, -79.943962 40.4462078))",POINT (-79.9439967 40.4462879),160.8,1730.7
,24,544174188,,yes,,,"POLYGON ((-79.9370414 40.4454486, -79.9371945 40.4454733, -79.9371719 40.4455553, -79.9370187 40.4455306, -79.9370414 40.4454486))",POINT (-79.93710660000001 40.445502),123.1,1325.1
,25,544173702,,yes,,,"POLYGON ((-79.9397475 40.4404448, -79.93995219999999 40.4404752, -79.93993639999999 40.4405375, -79.9397317 40.4405071, -79.9397475 40.4404448))",POINT (-79.939842 40.4404911),124.3,1338.5
,26,544174111,,yes,,,"POLYGON ((-79.936391 40.4455184, -79.9364686 40.4456207, -79.93638249999999 40.4456589, -79.9363048 40.4455566, -79.936391 40.4455184))",POINT (-79.9363867 40.4455886),110.9,1193.8
Carnegie Institute Parking Garage,27,29094325,,,parking,,"POLYGON ((-79.9491302 40.4430128, -79.9484398 40.4431789, -79.9483419 40.4429525, -79.94822720000001 40.442708, -79.9488817 40.4425557, -79.9489567 40.4425382, -79.94901369999999 40.4426971, -79.9491302 40.4430128))",POINT (-79.94868769999999 40.4428574),3449.9,37134.9
,28,544174642,,yes,,,"POLYGON ((-79.9406362 40.4462754, -79.94064109999999 40.4463294, -79.94055729999999 40.4463338, -79.9405508 40.4462623, -79.9406338 40.446258, -79.9406362 40.4462754))",POINT (-79.94059590000001 40.4462959),56.2,604.8
,29,544173841,,yes,,,"POLYGON ((-79.93738430000001 40.4417156, -79.9374205 40.4417669, -79.9373341 40.4418024, -79.9372979 40.4417511, -79.93738430000001 40.4417156))",POINT (-79.9373592 40.441759),54.0,581.4
,30,544174164,,yes,,,"POLYGON ((-79.937641 40.444129, -79.93772939999999 40.4442194, -79.9376697 40.4442535, -79.93758130000001 40.4441631, -79.937641 40.444129))",POINT (-79.9376554 40.4441913),78.5,845.0
